9789862410776,來跳舞吧!,,,1,,1,,中文
9789862411858,歡迎光臨餓蘑島,,,,1,1,,中文
9789862411865,屁屁超人與直升機神犬(3),3,,,,,,中文
9789862412213,分享,,,,,1,,中文
9789862412565,小火龍便利商店,3,,,,,,中文
9789862412718,小小火車向前跑,3,,,,,,中文
9789862414538,屁屁超人與充屁式救生艇(4),3,,,,,,中文
9789862414828,迷宮好好玩,,1,,,,,中文
9789862414835,一起來尋寶,,1,,,,,中文
9789862414859,"沒關係, 沒關係",,,,1,1,,中文
9789862415047,《我會說故事》無字圖畫書系列,2,,,,,,中文
9789862415528,君偉上小學：一年級鮮事多,,,,2,2,,中文
9789862415535,君偉上小學：二年級問題多,,,,2,2,,中文
9789862415542,君偉上小學：三年級花樣多,,,,2,2,,中文
9789862416099,好心的國王: 兒童權利之父 柯札克的故事,,1,,,,,中文
9789862416228,院子裡的好朋友：胖花盆和瘦花盆,,,,,1,,中文
9789862416235,院子裡的好朋友：灑水器爺爺,,,,,1,,中文
9789862416242,你是一隻獅子！—跟著動物們一起做運動,,,,,,,中文
9789862416419,文字森林海: 林世仁的圖象詩繪本,2,,2,,,,中文
9789862416617,分享 2: 當我們同在一起,,,,,1,,中文
9789862416921,數字躲迷藏,,1,,,,,中文
9789862417027,動物寶寶上幼兒園：小兔找朋友,,,,1,1,,中文
9789863200673,首席大提琴手,,,1,,,,中文
9789863201212,用點心學校4：學生真有料,3,,,,,,中文
9789863201359,拔啊，拔啊，拔蘿蔔！(新版)（附故事音樂劇CD）,1,,,,,,中文
9789863201724,吸墨鬼來了,3,,,,,,中文
9789863201946,吸墨鬼來了2：錯字飲料店,3,,,,,,中文
9789865806071,豬頭小偵探8：情書鬧翻天,3,3,,,,,中文
9789865806088,豬頭小偵探7：獎卡大盜別跑！,3,3,,,,,中文
9789865811006,水果海水浴,,,,1,,1,中文
9789865811013,雨蛙自然觀察團：雪地探險之旅,,,,,,1,中文
9789865811075,我討厭去幼兒園,,,,1,1,,中文
9789865811082,我爸爸超厲害！,,,,1,1,,中文
9789865941307,豬頭小偵探1：大誰是大豬頭,3,3,,,,,中文
9789865941314,科學祕密一網打盡 1：沙漠歌聲,3,3,,,,,中文
9789865941345,豬頭小偵探2：數學考卷失竊案,3,3,,,,,中文
9789865941451,豬頭小偵探3：飛走的鑽石胸針,3,3,,,,,中文
9789865941475,豬頭小偵探4：保險箱裡的大祕密,3,3,,,,,中文
9789865941482,科學祕密一網打盡 2：小鴨子學走鋼索,3,3,,,,,中文
9789865941499,科學祕密一網打盡 3：蟬和青蛙的演唱會,3,3,,,,,中文
9789865941543,科學祕密一網打盡 4：長了翅膀的祕密,3,3,,,,,中文
9789865941673,豬頭小偵探6：北極「飛」星事件,3,3,,,,,中文
9789865941680,豬頭小偵探5：解答不見了,3,3,,,,,中文
9789865988104,歡喜巫婆之剛好有雜貨店 (I076),2,,,,,,中文
9789865988180,不一樣的晚餐 (I077),2,,,,,,中文
9789866310294,怪男孩：亞伯特．愛因斯坦,2,,,2,,,中文
9789866310355,雨蛙自然觀察團：池塘探險之旅,,1,,,,1,中文
9789866310386,麗莎想要一隻狗,,,,1,,1,中文
9789866310737,殼斗村的帽子店,,,1,1,,,中文
9789866310744,看地圖認識全世界,,,,,,2,中文
9789866310782,皮皮羅生活哲學繪本1: 為什麼我不能買玩具？,,,,1,1,,中文
9789866310799,皮皮羅生活哲學繪本2: 為什麼貓咪不會說話？,,,,1,1,,中文
9789866310836,小獅子，要有信心！,,,,1,,,中文
9789866310843,小熊，別害怕！,,,,1,,,中文
9789866310867,皮皮羅生活哲學繪本3: 為什麼小孩子不可以？,,,,1,1,,中文
9789866310874,皮皮羅生活哲學繪本4: 為什麼貓咪會離開？,,,,1,1,,中文
9789866310881,阿尼，該睡覺了！,,,,1,,,中文
9789866310942,雨蛙自然觀察團：森林空中散步,,,,,,1,中文
9789866310959,蔬菜運動會,,,,1,,1,中文
